timestamp_ns,cam_id,corner_x,corner_y,corner_id,radius
1738865020359565312,1,334.82,1293.95,85,2.13487
1738865020359565312,1,330.816,1199.76,93,2
1738865020359565312,1,286.478,1420.24,101,2.51404
1738865020359565312,1,279.973,1357.98,105,2.16257
1738865020359565312,1,223.921,1360.32,129,2
1738865049026150400,1,215.23,376.201,100,2.56134
1738865049026150400,1,218.696,307.114,104,3.12536
1738865049026150400,1,154.519,287.518,128,2.57744
1738865049026150400,1,114.762,214.776,130,2.57744
1738865027159572480,1,100.087,711.718,137,2.67547
1738865027159572480,1,129.824,630.151,141,2.77047
1738865049626165248,1,325.52,420.311,96,2.30304
1738865049626165248,1,324.943,364.602,100,2.75197
1738865049626165248,1,262.81,403.192,120,2.10957
1738865049626165248,1,257.629,346.583,124,2.4814
1738865049626165248,1,254.19,279.794,128,2.83577
1738865049626165248,1,255.888,201.575,132,3.12957
1738865049626165248,1,211.917,126.446,134,3.12957
1738865021226221568,1,364.846,1198.29,17,2.01963
1738865021226221568,1,340.633,1322.84,33,2.75509
1738865021226221568,1,321.32,1266.41,37,2.32111
1738865021226221568,1,299.168,1406.99,53,2.90709
1738865021226221568,1,262.377,1282.97,61,2.16536
1738865021226221568,1,219.12,1354.84,81,2.21545
1738865019759584768,1,506.34,1250.49,65,2.10345
1738865019759584768,1,502.346,1206.53,69,2
1738865019759584768,1,450.735,1368.25,81,2.58485
1738865019759584768,1,445.708,1312.06,85,2.26014
1738865019759584768,1,444.083,1218.71,93,2
1738865019759584768,1,386.709,1436.04,101,2.64717
1738865019759584768,1,383.013,1374.83,105,2.32233
1738865019759584768,1,382.909,1319.98,109,2.06331
1738865019759584768,1,385.759,1269.97,113,2
1738865019759584768,1,321.067,1435.82,125,2.31063
1738865019759584768,1,321.852,1377.32,129,2.06014
1738865019759584768,1,291.859,1271.19,143,2
1738865055026128384,1,1910.26,513.652,5,2.41033
1738865044092855808,1,125.118,807.422,48,3.34518
1738865019626235392,1,597.184,1188.11,45,2
1738865019626235392,1,544.873,1294.44,61,2.54496
1738865019626235392,1,475.482,1306.02,85,2.2264
1738865019626235392,1,475.02,1256.57,89,2.01949
1738865019626235392,1,410.018,1367.86,105,2.39512
1738865019626235392,1,411.492,1313.52,109,2.02551
1738865019626235392,1,415.261,1264.41,113,2
1738865019626235392,1,347.434,1369.51,129,2.08186
1738865019626235392,1,352.571,1316.47,133,2
1738865019626235392,1,367.296,1226.94,141,2
1738865067692770816,1,422.963,348.8,96,2.2843
1738865067692770816,1,419.717,294.764,100,2.67805
1738865067692770816,1,359.06,333.26,120,2.07172
1738865067692770816,1,303.507,281.671,122,2.07172
1738865067692770816,1,351.141,279.778,124,2.4433
1738865049826182656,1,430.879,443.815,72,2.55229
1738865049826182656,1,359.355,367.075,100,2.83863
1738865049826182656,1,360.705,299.451,104,3.3227
1738865049826182656,1,296.245,405.112,120,2.09642
1738865049826182656,1,290.322,349.28,124,2.45074
1738865049826182656,1,286.237,282.594,128,2.86454
1738865049826182656,1,286.363,204.134,132,3.40701
1738865045759477248,1,93.3793,434.699,28,2.97658
1738865019559577088,1,493.01,1214.17,93,2
1738865019559577088,1,428.402,1314.47,109,2.0856
1738865019559577088,1,432.146,1265.73,113,2
1738865019559577088,1,360.131,1429.36,125,2.35043
1738865019559577088,1,363.526,1371.14,129,2.12096
